,Value
2017-07-21,111990.22439807208
2017-07-24,111624.57105157712
2017-07-25,111668.825303675
2017-07-26,112365.33483541205
2017-07-27,112313.1674854579
2017-07-28,112248.05455035271
2017-07-31,112147.19387891417
2017-08-01,112860.71041363456
2017-08-02,112765.02046749387
2017-08-03,112190.41888225968
2017-08-04,112372.98606412216
2017-08-07,112830.71489104273
2017-08-08,112244.94917024307
2017-08-09,112132.6137254854
2017-08-10,110318.45924281143
2017-08-11,109286.38819126169
2017-08-14,109960.86095395329
2017-08-15,109248.65406051453
2017-08-16,109800.76468689927
2017-08-17,108659.69755769275
2017-08-18,108611.28325470793
2017-08-21,108873.18016813791
2017-08-22,109520.70644006795
2017-08-23,109220.91723498321
2017-08-24,109090.73175392889
2017-08-25,109721.36950848861
2017-08-28,109951.05981441557
2017-08-29,110044.59299704796
2017-08-30,110856.19601180122
2017-08-31,111534.41435163507
2017-09-01,111912.11006959584
2017-09-04,111912.16022762647
2017-09-05,111143.12039633034
2017-09-06,111693.05367080122
2017-09-07,112662.64677062753
2017-09-08,112867.75262571934
2017-09-11,114708.08085765361
2017-09-12,114596.44728058364
2017-09-13,114381.24925572633
2017-09-14,114249.52106688994
2017-09-15,114382.25766341615
2017-09-18,114203.58795918529
2017-09-19,114108.89615906274
2017-09-20,113610.1517454713
2017-09-21,113320.47816201538
2017-09-22,113701.10825400229
2017-09-25,113373.08777109723
2017-09-26,113197.70403629915
2017-09-27,113027.25071263386
2017-09-28,113725.58372852328
2017-09-29,113754.86394975202
2017-10-02,111773.24991993378
2017-10-03,112163.42219510587
2017-10-04,112696.53674383565
2017-10-05,113269.05843657618
2017-10-06,113506.37844001464
2017-10-09,113368.1230969247
2017-10-10,113254.79981163391
2017-10-11,114116.49798920231
2017-10-12,114716.16026421258
2017-10-13,114935.61098511463
2017-10-16,114260.13967980172
2017-10-17,113878.10417450695
2017-10-18,114249.83932717118
2017-10-19,115581.79306717694
2017-10-20,117125.43493798145
2017-10-23,116828.33262757318
2017-10-24,116958.2448182033
2017-10-25,116900.51506913714
2017-10-26,117495.23254510877
2017-10-27,118693.78708529074
2017-10-30,118464.60172435123
2017-10-31,117495.75771886182
2017-11-01,118140.32482468591
2017-11-02,118725.94858704082
2017-11-03,119287.88356067514
2017-11-06,119942.04243479797
2017-11-07,120116.03247869648
2017-11-08,120562.0606854738
2017-11-09,119965.52899146441
2017-11-10,120113.83103078417
2017-11-13,120809.16120017524
2017-11-14,121244.87576184468
2017-11-15,118903.49253976994
2017-11-16,120157.76934463125
2017-11-17,119883.02150002705
2017-11-20,120340.97166189238
2017-11-21,121086.70017363557
2017-11-22,120859.62836887465
2017-11-23,120867.91788186244
2017-11-24,121356.77375771
2017-11-27,121292.54314976615
2017-11-28,121729.04335088312
2017-11-29,119635.68608870881
2017-11-30,120517.40655578338
2017-12-01,118642.30756799178
2017-12-04,115992.52727398335
2017-12-05,116068.14171975
2017-12-06,116239.23864714552
2017-12-07,117911.76627356384
2017-12-08,118023.10024369073
2017-12-11,119930.64555630744
2017-12-12,119890.5852386834
2017-12-13,121206.9847389974
2017-12-14,120950.06969400017
2017-12-15,123471.91865029909
2017-12-18,125488.7525469868
2017-12-19,124455.5594379
2017-12-20,123642.4757328001
2017-12-21,122321.44381450154
2017-12-22,122186.31478202053
2017-12-26,122976.31189051644
2017-12-27,123096.7023805155
2017-12-28,122878.88443584225
2017-12-29,121510.44872994527
2018-01-02,121669.45701780434
2018-01-03,124566.21996733482
2018-01-04,125354.05991358033
2018-01-05,128572.54488594604
2018-01-08,130043.3295780369
2018-01-09,129859.06764776754
2018-01-10,128817.23203558443
2018-01-11,130186.78226342633
2018-01-12,131088.98819796718
2018-01-15,131089.06067400947
2018-01-16,129290.70834977298
2018-01-17,132511.27288861971
2018-01-18,131252.52286621946
2018-01-19,132830.5569459037
2018-01-22,132922.69109523363
2018-01-23,133464.93081691148
2018-01-24,133023.04432039612
2018-01-25,132793.00446411787
2018-01-26,135384.4721005104
2018-01-29,133758.02339572812
2018-01-30,131559.77728821847
2018-01-31,130243.20808991336
2018-02-01,129359.21112215749
2018-02-02,125065.38299120261
2018-02-05,119893.76115928325
2018-02-06,121207.42189364186
2018-02-07,122447.313852268
2018-02-08,117432.98698623816
2018-02-09,120095.98781686916
2018-02-12,121562.23487501846
2018-02-13,122671.55470877395
2018-02-14,125700.01691847549
2018-02-15,127980.92543631302
2018-02-16,127187.45370703445
2018-02-19,127187.45370703445
2018-02-20,126746.41468077408
2018-02-21,126381.755180652
2018-02-22,125911.96638746963
2018-02-23,127443.63965674148
2018-02-26,128360.4082400392
2018-02-27,125984.09508391128
2018-02-28,124356.67044870244
2018-03-01,121682.36446658328
2018-03-02,123096.12308766045
2018-03-05,123983.00163267546
2018-03-06,124618.82035309492
2018-03-07,125059.03530691916
2018-03-08,126362.58808283511
2018-03-09,128055.90261302175
2018-03-12,127068.33415260779
2018-03-13,125687.7847783162
2018-03-14,125336.65201599272
2018-03-15,125219.76752233996
2018-03-16,125103.44387788049
2018-03-19,124024.00186050913
2018-03-20,125216.40372761285
2018-03-21,125159.52318219631
2018-03-22,121030.69567348002
2018-03-23,119515.23624968345
2018-03-26,123302.19296073513
2018-03-27,119356.05279088969
2018-03-28,117969.13050607908
2018-03-29,120585.89011845099
2018-04-02,117712.93911137123
2018-04-03,118693.7268280521
2018-04-04,119861.64160107284
2018-04-05,121303.6655242472
2018-04-06,118285.73419785865
2018-04-09,119764.69402954579
2018-04-10,121504.98829973812
2018-04-11,120809.88960670495
2018-04-12,122204.68182496069
2018-04-13,121131.91719297237
2018-04-16,121906.61768339896
2018-04-17,124234.79399265426
2018-04-18,124339.98812818728
2018-04-19,124190.04487759834
2018-04-20,122992.89077745021
2018-04-23,122743.35264811912
2018-04-24,120275.3142405233
2018-04-25,119954.14012528308
2018-04-26,121712.0761291224
2018-04-27,121001.83553176805
2018-04-30,121065.62887618507
2018-05-01,118935.20588018873
2018-05-02,117294.45511875923
2018-05-03,118016.50400278861
2018-05-04,118384.00805176565
2018-05-07,119549.1446700974
2018-05-08,120317.38637098603
2018-05-09,121606.65716375802
2018-05-10,122691.49335217531
2018-05-11,123263.26142110425
2018-05-14,122709.43205590233
2018-05-15,122801.81916801083
2018-05-16,123264.20255687955
2018-05-17,122654.74850865405
2018-05-18,123742.62606117007
2018-05-21,124918.59866503687
2018-05-22,123920.48089545302
2018-05-23,125750.619561809
2018-05-24,125819.61109584027
2018-05-25,125602.93731822883
2018-05-28,125603.10451290314
2018-05-29,124415.08826689779
2018-05-30,126499.4377274822
2018-05-31,125624.44705334204
2018-06-01,127714.59396766452
2018-06-04,129533.5428379726
2018-06-05,131268.91565065755
2018-06-06,132535.70692018684
2018-06-07,131727.5685973987
2018-06-08,131944.97111839146
2018-06-11,132480.8465968147
2018-06-12,133019.7318513715
2018-06-13,133016.5179498549
2018-06-14,132969.02829090075
2018-06-15,132629.63790121404
2018-06-18,132701.6666126449
2018-06-19,132714.01874495865
2018-06-20,133531.4682582708
2018-06-21,132743.57315887001
2018-06-22,131571.62440897763
2018-06-25,128731.50165489693
2018-06-26,130008.29625862949
2018-06-27,128131.89540432041
2018-06-28,129511.8760573038
2018-06-29,129382.0253269567
2018-07-02,129802.42842154518
2018-07-03,129225.38250614618
2018-07-04,129225.51236725859
2018-07-05,129696.99447064658
2018-07-06,130881.60381387077
2018-07-09,131953.963737632
2018-07-10,131930.2223991018
2018-07-11,131719.6575616494
2018-07-12,132992.42719952046
2018-07-13,132776.98994614033
2018-07-16,132731.5602027566
2018-07-17,133402.2534173699
2018-07-18,134000.06497801372
2018-07-19,133567.58605214045
2018-07-20,133254.20358738452
2018-07-23,133739.21775464684
2018-07-24,132750.59177261888
2018-07-25,135296.53695645815
2018-07-26,134291.93708760032
2018-07-27,131544.542970949
2018-07-30,128991.2414816593
2018-07-31,129551.27566489943
2018-08-01,128189.68733440746
2018-08-02,130517.04627202879
2018-08-03,129777.14092896001
