Date,Strategy,VT,VOO,SPMO,QQQ
2017-01-31,99980.10554607546,90027.54127375172,88979.44293348059,87578.02584980692,87507.42889943245
2017-02-01,99791.83194456829,90156.17001206435,88992.10992579273,87577.50467266019,88110.38735244093
2017-02-02,100172.11680948622,90327.80837630425,89030.26196460918,87576.9834986157,88032.50225691764
2017-02-03,100744.70095694702,90785.84646496702,89689.08349751624,87576.46232767342,88284.48506190491
2017-02-06,100565.3351403548,90470.52332709526,89501.89302311635,87575.94115983337,88389.07209456051
2017-02-07,101180.19964611842,90412.98302572798,89523.07445821934,87990.67273435113,88711.24274527439
2017-02-08,101216.36578046791,90527.30989959658,89637.74848880347,87990.14910097294,88857.94575837081
2017-02-09,101925.47153500035,90985.33570368041,90147.77828352147,87989.6254707116,89180.09616047463
2017-02-10,101940.82303953847,91443.37223910254,90509.01916363729,87989.10184356713,89474.19160312528
2017-02-13,102644.84335618331,91901.43278235034,90989.27410425211,89081.07194578194,89978.84834388463
2017-02-14,102914.85350315523,92087.33477074905,91367.50552789411,89080.54182193223,90279.93371443207
2017-02-15,104021.40650856232,92617.0044936689,91830.76591735195,89080.01170123805,90812.64801547633
2017-02-16,103905.94851127666,92645.3780632416,91758.36938747212,89079.48158369934,90783.83896245515
2017-02-17,104601.4792216759,92602.15827233659,91898.53209234748,89078.95146931609,91176.13753378084
2017-02-20,104601.5478903202,92602.15827233659,91898.53209234748,89078.95146931609,91176.13753378084
2017-02-21,104872.44185928248,93088.84643259637,92438.35001595259,90388.11222573809,91624.6237973596
2017-02-22,104655.66011277576,93074.24949390639,92395.7178617527,90387.57432188674,91658.96321049384
2017-02-23,104822.20521646013,93073.99107119128,92446.61508582186,90802.26871664119,91314.35682705173
2017-02-24,105308.25099910374,92873.24071982694,92557.03417972772,90801.72834757263,91489.07984984451
2017-02-27,105233.27766052175,92801.37737142606,92692.96779697762,90801.18798172053,91600.66445774218
2017-02-28,105116.62337016629,92443.10655721098,92420.79332305618,91056.21264523627,91319.20185921992
2017-03-01,106495.11155206268,93574.20626734139,93729.97387955495,91055.67076459671,92315.08134968099
2017-03-02,105878.07725582535,92886.53422700506,93181.50788367687,91055.12888718263,91851.12996608483
2017-03-03,105724.61016117314,93230.00139957022,93232.39625922934,91182.37736065131,92018.84718738576
2017-03-06,105055.11739548719,92971.94779540921,92943.2378446985,91181.8347290313,91814.58076621997
2017-03-07,104664.12463931029,92670.95429143884,92662.55730798666,91117.37745491072,91659.43847253516
2017-03-08,104902.79630256681,92398.58550923175,92466.89079139149,91116.8352101949,91820.11318850351
2017-03-09,104736.22740116421,92441.30988540128,92564.54385655448,91116.29296870674,91889.56228455095
2017-03-10,105537.25403008459,92956.58388601246,92887.49436812618,91115.7507304462,92274.80271141672
2017-03-13,105475.30836116605,93314.32998939508,92942.68546761158,91115.20849541327,92428.49725556618
2017-03-14,104921.16798012727,92812.84118896522,92627.96216975522,91114.66626360793,92203.19770068194
2017-03-15,106173.37833145753,93943.96818704005,93397.28550801937,91114.12403503015,92770.90668569773
2017-03-16,105519.51343935798,94086.89986932954,93239.91374674733,91975.97208166616,92707.0019247775
2017-03-17,105951.33712829229,94115.29431678426,93052.76302433519,92023.33988232065,92673.89581929352
2017-03-20,105776.86756766425,93986.15248401732,92971.88974820789,92022.79224497134,92757.56158038216
2017-03-21,104832.90216271752,93055.02177987245,91785.74924956406,92022.24461088177,91350.42809688025
2017-03-22,105575.60801832312,93197.99416732187,91972.67937739354,89337.41041320801,91968.53178807285
2017-03-23,105426.08818618044,93140.45122267016,91878.62028597739,89336.8787635341,91735.74726425347
2017-03-24,105411.87996286637,93311.99820885545,91848.64133626227,89336.34711702476,91924.87687947453
2017-03-27,105257.4173998953,93412.00247504836,91699.05530853443,89335.81547368002,92071.76774807472
2017-03-28,105847.20595609979,93941.6206657204,92377.96989850693,89335.28383349981,92633.61199478197
2017-03-29,105805.00979545152,94075.06346987827,92514.52669604562,89334.75219648411,93061.82262884245
2017-03-30,105721.1657175728,94031.63728021852,92762.1298384802,89334.22056263294,93215.77427969422
2017-03-31,105431.95843539409,93801.38040512713,92539.94914809079,89333.68893194625,93151.74041069238
2017-04-03,104870.04352452447,93714.90330873794,92424.5127309756,90579.37555107907,93094.7693611142
2017-04-04,104349.98273043011,93772.09195286958,92475.62712762938,90578.83650875553,93241.68951194128
2017-04-05,104070.3451754263,93412.47030844144,92193.6784634514,90578.29746964059,92861.2427724253
2017-04-06,104148.19177259979,93555.96169784993,92432.72806089176,90577.75843373421,92909.7326220177
2017-04-07,104184.8758773592,93440.69900015357,92351.47944429748,90577.21940103637,92859.76986873879
2017-04-10,104261.78874794509,93483.55060652002,92415.42610638418,90672.55550314001,92894.17578698783
2017-04-11,104307.1792901005,93569.55272668222,92299.99066126841,90672.0159061739,92492.66772905379
2017-04-12,104065.81706582266,93353.65924021529,91919.79305293805,90671.47631241969,92119.30911751845
2017-04-13,103297.85862489218,92763.994966605,91309.01363942472,90670.93672187734,91752.95509535327
2017-04-17,104209.59624178491,93554.40314384585,92107.5006955899,90670.39713454683,92511.58268090374
2017-04-18,104255.80705425794,93050.995670965,91855.42432631917,89200.03397571419,92370.21104501539
2017-04-19,104407.13667693602,92863.86615223576,91654.58729895468,89199.50314375719,92517.14232511666
2017-04-20,105525.72945033504,93639.8642063883,92401.84750758446,89198.97231495989,93289.78825180711
2017-04-21,105421.30006561783,93495.88400363024,92132.6820832798,89198.44148932229,93267.9563391894
2017-04-24,106816.23760664747,94961.85453185908,93114.82359622099,91658.2052761696,94392.13641577994
2017-04-25,106938.69884222349,95536.6078927771,93674.14703412435,91657.65981224056,95073.35538560846
2017-04-26,106637.22280432907,95478.84971578978,93605.70770798347,91657.11435155832,94939.02532841945
2017-04-27,106490.31852616808,95521.71413567355,93678.21936854461,91656.56889412289,95507.73983545556
2017-04-28,105841.8972321065,95320.19164533001,93498.72862565091,91656.02343993422,95675.69503817114
2017-05-01,106059.68182880398,95521.18369395427,93724.97009897862,92173.0782970001,96525.63908391047
2017-05-02,105919.20381639598,95894.6713638558,93754.71996122628,91878.58524788693,96686.55703424364
2017-05-03,105380.74916106874,95563.7756607313,93660.66187994194,91878.03847217234,96376.49008850037
2017-05-04,106187.97812397746,95779.13502601293,93745.98256052197,91877.49169971238,96410.85195792576
2017-05-05,106509.68407250904,96468.85693163406,94121.67943764481,91876.94493050702,96761.62030469465
2017-05-08,106732.53473890328,96123.59943542886,94125.80971098326,91972.24896879018,96971.76644559235
2017-05-09,107456.37022631061,96195.20020725126,94006.15533626055,92131.4565199888,97308.46092979888
2017-05-10,107504.31671728822,96367.43361612529,94181.13384747383,92130.90823908808,97363.92126344469
2017-05-11,107022.67930190692,96223.41160279002,93988.8349863135,92130.35996145093,97285.79923045964
2017-05-12,107246.39871238834,96165.66670871686,93843.50196293117,92832.67612732493,97502.92067699283
2017-05-15,108183.32855501008,96812.26123077043,94317.4367490014,92927.98510858105,97811.47346363166
2017-05-16,108376.77345594238,96998.81390021743,94300.24292698498,92927.43208643873,98218.45286037512
2017-05-17,105980.793414132,95503.62515725105,92630.34468279193,90575.46338587781,95722.11235214658
2017-05-18,106876.55618474151,95560.85698254737,92967.61076588058,90475.88909535576,96557.85392965142
2017-05-19,108827.85326023403,96523.68855399314,93544.01913712786,90475.35066902303,96964.84496359972
2017-05-22,109761.91214915547,96911.51482193948,94064.88630972579,90474.81224589523,97779.53753750105
2017-05-23,110110.05414819869,96896.88322565738,94248.46029102373,92231.40553597013,97877.10988431612
2017-05-24,109687.04109437026,97083.47900539503,94474.6660980909,92857.01111657116,98326.21156954952
2017-05-25,110455.27081100493,97413.83083448416,94914.41738559898,93345.23552202598,99162.00184839634
2017-05-26,110749.76346259342,97312.93067618467,94918.58438543594,93344.68001625023,99336.9381591652
2017-05-29,110749.8129563022,97312.93067618467,94918.58438543594,93344.68001625023,99336.9381591652
2017-05-30,111022.23613707244,97212.03107769028,94828.78410425058,93344.12451378108,99420.45554647392
2017-05-31,111035.71896413401,97168.61448371861,94807.32516120879,93343.56901461848,99384.54582917804
2017-06-01,111529.94951219749,97887.10222427356,95545.9660085887,93343.01351876244,99770.33849514254
2017-06-02,111900.12325698163,98476.14002244193,95844.81206243935,93342.45802621292,100908.31312997629
2017-06-05,111314.64979779137,98260.29429013045,95780.64459693828,94089.46909215544,100886.38589060395
2017-06-06,111154.75120722872,98044.39002450235,95507.24302858833,94088.90915641798,100484.96374030186
2017-06-07,111744.92972960006,98044.11779584132,95665.11929085458,94088.34922401348,100877.75480479485
2017-06-08,111484.25917179219,98015.08159572813,95699.13815242151,94087.78929494189,100982.42727602374
2017-06-09,110054.54722175989,97842.31900983243,95588.02949192106,94087.22936920321,98458.22477324563
2017-06-12,110254.164499233,97698.32119538164,95549.46585966814,94086.66944679744,97930.28323597537
2017-06-13,110827.9470751979,98330.52020505705,96014.86553635162,94086.10952772453,98723.79074045483
2017-06-14,110561.87538866122,98085.87559581417,95912.22584148188,95919.19456707014,98294.24856477855
2017-06-15,110502.55424461633,97481.8934245846,95719.94550661801,95918.6237401096,97857.67134181308
2017-06-16,110660.78262377674,97912.83622910539,95745.44984582106,95918.05291654685,97432.62088574821
2017-06-19,111596.08174348928,98530.63263565142,96526.81609576276,95917.48209638186,99059.91610813435
2017-06-20,110232.47960744725,97667.94354285928,95894.68857919375,95916.91127961461,98283.84933414035
2017-06-21,110270.02634228341,97667.67235988293,95856.1475463895,95076.21648885749,99255.65873659904
2017-06-22,110589.98603580908,97710.4928444138,95800.51787551527,95075.6506796236,99226.64824270857
2017-06-23,110460.73963729598,97882.75364686204,95963.40341461825,95075.08487375766,99606.45677423297
2017-06-26,110393.21491545202,98184.2944102181,95993.31531739248,94828.5365115216,99140.55389732178
2017-06-27,109253.36050537918,97666.58763551031,95229.63058357107,94827.9721765733,97342.65795099063
2017-06-28,109707.71781180223,98485.46713085148,96070.31813307563,95338.51833090035,98744.34634764957
2017-06-29,108658.83816861862,97544.49037159307,95242.27349540184,95337.95096034599,97031.05743125365
2017-06-30,109025.04356191556,97775.73466178593,95400.88657693997,94762.4223185449,97065.50549863892
2017-07-03,108584.108237904,97934.68621437936,95610.98393348732,94761.85837713347,96042.92021281895
2017-07-04,108584.15196780459,97934.68621437936,95610.98393348732,94761.85837713347,96042.92021281895
2017-07-05,108742.82257304457,97934.41429045114,95778.14802959331,94761.29443907883,96986.46782753154
2017-07-06,107899.15665945977,97109.22934222812,94920.09705447484,94984.31657102589,96111.86454132106
2017-07-07,108863.04166487149,97543.13617886197,95520.54327159228,94983.75130881534,97146.97546498278
2017-07-10,108653.82409921406,97759.9297458526,95619.09622476406,94983.18604996943,97780.46150866563
2017-07-11,108274.4517907812,97846.502409445,95546.06967897093,94982.62079448819,98054.47515219702
2017-07-12,109785.46968549922,98700.10908905604,96262.31302086865,96620.62757368296,99216.41806973114
2017-07-13,110128.08131879891,98989.26731638421,96425.1954876235,96834.07379382326,99434.08957576276
2017-07-14,110888.4480217763,99582.362488156,96862.63963853805,96865.44783941809,100215.4840473508
2017-07-17,110689.63188816696,99509.71670638626,96875.37099158143,96864.87137999761,100264.01959595513
