Ticker,Momentum_Score,Weight,Close
LITE,6.0,0.07004824780341327,560.780029296875
ROIV,3.4379895482800085,0.07004824780341327,27.78499984741211
FTRE,2.986691290301456,0.008094778580360755,13.449999809265137
VIAV,2.982481430529948,0.041378574778362556,27.454999923706055
AHR,2.8804836605893884,0.06084318213415846,50.150001525878906
NXT,2.7078928616674114,0.07004824780341327,120.40499877929688
ELAN,2.653970063949658,0.07004824780341327,25.280000686645508
AMKR,2.6489694485664943,0.07004824780341327,50.90999984741211
ORI,2.3356043008043663,0.0676452279215515,41.970001220703125
AA,2.3195729404309766,0.07,62.0
NVT,2.3077180215638995,0.07004824780341327,113.86499786376953
NLY,2.289576769381552,0.07,22.56279945373535
MKSI,2.2317803981363937,0.07,249.94500732421875
NYT,2.2305553048539197,0.07004824780341327,69.87000274658203
OUT,2.166538319939025,0.029170731988920496,26.780000686645508
HP,2.124140936958591,0.022481522169339938,34.709999084472656
FTI,2.0811625812142083,0.07004824780341327,59.560001373291016
