Date,Ticker,Shares,Price,Value,Weight
<<<<<<< HEAD
2024-03-01,CASH,1,,472.1629714298142,0.004696637513711512
2024-03-01,NVDA,122,82.2331771850586,10032.447616577148,0.09979344565643468
2024-03-01,LLY,13,772.6473999023438,10044.416198730469,0.09991249796533767
2024-03-01,ANET,139,71.93499755859375,9998.964660644531,0.09946038839354329
2024-03-01,CBOE,54,184.25303649902344,9949.663970947266,0.09896999104623998
2024-03-01,AVGO,73,136.8211212158203,9987.941848754883,0.09935074372642605
2024-03-01,META,20,499.3448486328125,9986.89697265625,0.0993403502720915
2024-03-01,PGR,58,172.8457794189453,10025.055206298828,0.09971991284354854
2024-03-01,PANW,66,151.1999969482422,9979.199798583984,0.09926378595281019
2024-03-01,NRG,183,54.916229248046875,10049.669952392578,0.0999647574139398
2024-03-01,IBM,56,178.67340087890625,10005.71044921875,0.09952748921591675
2024-09-03,CASH,1,,366.4601407284099,0.003086133976259107
2024-09-03,NVDA,111,107.95379638671875,11982.871398925781,0.10091342126284734
2024-09-03,LLY,12,947.8783569335938,11374.540283203125,0.0957903775361391
2024-09-03,PGR,51,232.41175842285156,11852.99967956543,0.0998197101572507
2024-09-03,NRG,154,78.0796890258789,12024.272109985352,0.10126207621011736
2024-09-03,VST,161,75.02710723876953,12079.364265441895,0.10172603327906854
2024-09-03,GE,74,162.77293395996094,12045.19711303711,0.10143829554666785
2024-09-03,TRGP,83,145.24806213378906,12055.589157104492,0.10152581185939802
2024-09-03,APH,197,61.14276123046875,12045.123962402344,0.10143767951061304
2024-09-03,LDOS,78,153.4449005126953,11968.702239990234,0.10079409608134442
2024-09-03,TT,32,342.1549987792969,10948.9599609375,0.09220636458029453
2025-03-03,CASH,1,,132.59772116807108,0.0010067756464991785
2025-03-03,VST,111,123.27476501464844,13683.498916625977,0.10389479809155405
2025-03-03,TRGP,71,191.18878173828125,13574.403503417969,0.1030664685833616
2025-03-03,PLTR,164,83.41999816894531,13680.879699707031,0.1038749111449032
2025-03-03,MSTR,54,250.9199981689453,13549.679901123047,0.10287874951500214
2025-03-03,AXON,26,525.75,13669.5,0.10378850841921088
2025-03-03,TPR,166,82.75419616699219,13737.196563720703,0.10430250859285863
2025-03-03,ETR,160,85.54424285888672,13687.078857421875,0.10392197953311631
2025-03-03,HWM,105,130.69911193847656,13723.406753540039,0.10419780660448778
2025-03-03,BSX,131,104.87000274658203,13737.970359802246,0.10430838379978821
2025-03-03,GDDY,48,177.69000244140625,8529.1201171875,0.06475911006921801
2025-09-02,CASH,1,,219.3749982221616,0.001375682979755158
2025-09-02,PLTR,105,157.08999633789062,16494.449615478516,0.10343536765964295
2025-09-02,TPR,163,102.04545593261719,16633.4093170166,0.10430677277794274
2025-09-02,HWM,96,173.0198516845703,16609.90576171875,0.1041593838719643
2025-09-02,PM,101,164.3426971435547,16598.612411499023,0.10408856418053365
2025-09-02,GEV,28,579.0120849609375,16212.33837890625,0.10166627077214294
2025-09-02,CAH,111,148.6924591064453,16504.86296081543,0.10350066891119121
2025-09-02,NRG,115,144.28805541992188,16593.126373291016,0.10405416167591734
2025-09-02,GE,60,274.7397155761719,16484.382934570312,0.10337224031286109
2025-09-02,DASH,68,244.10000610351562,16598.800415039062,0.10408974313562089
2025-09-02,CME,40,262.9245300292969,10516.981201171875,0.06595114372242772
=======
2024-03-01,CASH,1,,472.1640359431876,0.004696648102489225
2024-03-01,NVDA,122,82.23318481445312,10032.448547363281,0.099793454914817
2024-03-01,LLY,13,772.6474609375,10044.4169921875,0.09991250585769776
2024-03-01,ANET,139,71.93499755859375,9998.964660644531,0.09946038839333272
2024-03-01,CBOE,54,184.25303649902344,9949.663970947266,0.09896999104603045
2024-03-01,AVGO,73,136.82113647460938,9987.942962646484,0.09935075480617199
2024-03-01,META,20,499.3448181152344,9986.896362304688,0.09934034420067227
2024-03-01,PGR,58,172.84576416015625,10025.054321289062,0.09971990404008449
2024-03-01,PANW,66,151.1999969482422,9979.199798583984,0.09926378595260003
2024-03-01,NRG,183,54.91622543334961,10049.669254302979,0.09996475046978297
2024-03-01,IBM,56,178.67337036132812,10005.708740234375,0.09952747221632106
2024-09-03,CASH,1,,366.4647872126261,0.0030861731024282094
2024-09-03,NVDA,111,107.95378875732422,11982.870552062988,0.1009134139979431
2024-09-03,LLY,12,947.87841796875,11374.541015625,0.09579038357789281
2024-09-03,PGR,51,232.41175842285156,11852.99967956543,0.09981971002562037
2024-09-03,NRG,154,78.0796890258789,12024.272109985352,0.10126207607658501
2024-09-03,VST,161,75.027099609375,12079.363037109375,0.10172602280055593
2024-09-03,GE,74,162.77291870117188,12045.195983886719,0.10143828590379422
2024-09-03,TRGP,83,145.248046875,12055.587890625,0.10152580105989575
2024-09-03,APH,197,61.142757415771484,12045.123210906982,0.10143767304815166
2024-09-03,LDOS,78,153.4449005126953,11968.702239990234,0.10079409594842918
2024-09-03,TT,32,342.1549987792969,10948.9599609375,0.09220636445870378
2025-03-03,CASH,1,,132.5998710041804,0.0010067919250884305
2025-03-03,VST,111,123.27477264404297,13683.49976348877,0.10389479993080551
2025-03-03,TRGP,71,191.18878173828125,13574.403503417969,0.10306646402923313
2025-03-03,PLTR,164,83.41999816894531,13680.879699707031,0.10387490655505263
2025-03-03,MSTR,54,250.9199981689453,13549.679901123047,0.10287874496916828
2025-03-03,AXON,26,525.75,13669.5,0.10378850383317811
2025-03-03,TPR,166,82.75419616699219,13737.196563720703,0.10430250398411409
2025-03-03,ETR,160,85.54425048828125,13687.080078125,0.10392198420962671
